"sen_id";"sen_hash";"sen_quotes";"sen_maj";"sen_words";"sen_sentence";"sen_en_p";"sen_en_o";"sen_en_full";"sen_checked";"sen_checked_date"
"1";"29985769b6ee0de4dd286b8da33914fc";"0";"1";"11";"Notre-Dame de Paris, après la bataille 4 juillet 2019 à 10:52";"0";"1";"1";"1";"2019-07-12 10:18:10"
"2";"62c897ed1a1eb65ae541e0e05a16be5d";"0";"2";"16";"Les Américains ont réagi en six semaines là où il a fallu neuf mois aux Français";"0";"0";"0";"1";"2019-07-11 10:05:19"
"3";"b259fb50d2b88a5b67b2a9cc144d10d8";"0";"0";"8";"Ne pas confondre ""networking"" et ""not working"" !";"0";"0";"0";"1";"2019-07-11 10:05:20"
"4";"1bedc7b549c257141ab13c7c4d67b2db";"0";"5";"15";"Lee Iacocca, le PDG qui a lancé la Ford Mustang et sauvé Chrysler, est décédé";"1";"1";"1";"1";"2019-07-12 08:46:47"
"5";"1997190004438945710984fdb45eed75";"0";"2";"12";"Au Burkina Faso, la dégradation de la situation sécuritaire gagne du terrain";"0";"0";"1";"1";"2019-07-11 10:51:44"
"6";"42a998731b0466f8ffbc58c4785dff4c";"0";"1";"17";"C’est une décision consciente de séparer d’un côté Rihanna l’artiste, de l’autre le business et les collaborations";"1";"1";"1";"1";"2019-07-11 11:51:34"
"7";"3e4618fd1772337be91e73bbca3b114c";"0";"3";"33";"Le pèlerinage de la Ghriba est au cœur des traditions des Tunisiens de confession juive, qui ne sont plus que 1 500, majoritairement installés à Djerba, contre 100 000 avant l’indépendance en 1956";"0";"1";"1";"1";"2019-07-11 10:51:32"
"8";"2e26c127cb0f616e605c2c40a72e68b3";"0";"2";"33";"Plus de 5 000 personnes, dont environ 600 venues d’Israël, et d’autres de France, d’Angleterre ou de Russie, sont attendues pour ce pèlerinage de deux jours, dans la petite synagogue couverte de faïences";"0";"0";"1";"1";"2019-07-11 10:51:22"
"9";"5e05a322ad009f16af8a67288f67f8bd";"0";"1";"11";"Ecoféminisme, Françoise d’Eaubonne, révolutionnaire du désir 4 juillet 2019 à 10:48";"1";"1";"1";"1";"2019-07-11 13:53:12"
"3234";"225e572e99f6c3dfda376de291ceb76f";"0";"2";"12";"Vers une victoire écrasante du premier ministre Modi aux législatives en Inde";"1";"1";"1";"1";"2019-07-08 10:38:19"
"3235";"bd43c249c857b9079fed28750701a6c8";"0";"1";"12";"Parlement européen : l'élection de Sassoli aplanit les différends sur les nominations";"1";"1";"1";"1";"2019-07-08 10:42:57"
"3236";"6f67d2e03dfa7dc563a54ebeb831b013";"0";"3";"14";"Ursula von der Leyen et Christine Lagarde désignées aux plus hauts postes de l’UE";"1";"1";"1";"1";"2019-07-08 10:49:11"
"3237";"83dc09ca079b4cfb3ba6dad4acb2b7bd";"0";"0";"8";"La droite a renoncé à présenter un candidat";"0";"0";"0";"1";"2019-07-08 10:49:16"
"3238";"54ff6b71db471ed5d17e56ad3096a32c";"0";"2";"10";"Medef : le premier faux pas de Roux de Bézieux";"1";"1";"1";"1";"2019-07-08 10:45:47"
"3239";"6df6b7a2918a82d06220ac749df12c1a";"0";"3";"30";"Un accord a été trouvé pour nommer la ministre de la défense allemande à la tête de la Commission et la directrice générale du FMI à la Banque centrale européenne";"0";"1";"1";"1";"2019-07-08 10:49:24"
"3240";"2cf0cb33b52c57abcb8241252003f20b";"0";"3";"17";"L’invitation annulée de Marion Maréchal à l’université d’été du mouvement a terni l’an I de son président";"1";"1";"1";"1";"2019-07-08 10:48:02"
"3241";"e4b1b9879e5dda6d680de8b57e9bd973";"0";"0";"23";"Si les tendances se confirment, la coalition emmenée par son parti dépasserait largement la majorité absolue de 272 élus à la chambre basse";"0";"0";"0";"1";"2019-07-08 10:49:27"
"3243";"09d3a3078aa1e843d476185d8894c692";"0";"2";"17";"L'eurodéputé italien social-démocrate de 63 ans l'a emporté facilement, loin devant le conservateur eurosceptique tchèque Jan Zahradil";"1";"1";"1";"1";"2019-07-08 10:49:32"
"3246";"9a9844a26ccb45303eb5312ea100eae5";"0";"8";"27";"Le premier ministre, Edouard Philippe (à gauche), et Geoffroy Roux de Bézieux, président du Medef, lors de l’université d’été du Medef à Jouy-en-Josas (Yvelines), en août 2018";"1";"1";"1";"1";"2019-07-08 10:49:38"
"3247";"0d98ffc623b43d9637ea705cba8e7ba9";"0";"4";"20";"La ministre allemande de la défense, Ursula von der Leyen, le 25 juin à la villa Borsig, près de Berlin";"1";"1";"1";"1";"2019-07-08 10:49:41"
"3248";"cebff595a084353125f46b61940aa424";"0";"2";"21";"Deux femmes pour les postes de pouvoir les plus considérables de l’Union européenne (UE), la Commission et la Banque centrale européenne";"0";"1";"1";"1";"2019-07-08 10:49:46"
"3249";"fc2a748d879d1abc5c9611e54c983dd9";"0";"4";"20";"Ursula von der Leyen, l’actuelle ministre allemande de la défense, est nommée en remplacement de Jean-Claude Juncker à la Commission";"1";"1";"1";"1";"2019-07-08 10:49:50"
"3250";"059ee05d176a84b626d7e3c1a2bb4155";"0";"1";"20";"Elle doit encore être confirmée à ce poste au Parlement européen, en principe dans le courant du mois de juillet";"0";"0";"0";"1";"2019-07-08 10:49:53"
"3251";"97b3a0ce32f9bbe6372e3c44cdeedb0b";"0";"2";"31";"L’Allemande, 60 ans, est née à Bruxelles dans une grande famille aristocratique, parle parfaitement le français, et fut également ministre fédérale de la famille, puis des affaires sociales du gouvernement Merkel";"0";"1";"1";"1";"2019-07-08 10:50:02"
"3252";"c1e6e146435c04b16f223c26346613e1";"0";"3";"18";"Mère de sept enfants, fille du ministre-président de Basse-Saxe, Ernst Albrecht, elle est considérée comme une conservatrice modérée";"1";"1";"1";"1";"2019-07-08 10:50:09"
"3253";"a80059c13f2cbd3d4ad36d263c20a16a";"0";"0";"14";"C’est le président français qui a suggéré à la chancelière allemande de la nommer";"0";"0";"0";"1";"2019-07-08 10:57:07"
"3254";"9b660c13276d7b7c6a2c20fc0adbd572";"0";"4";"14";"La directrice générale du Fonds monétaire international, Christine Lagarde, le 30 mai à Mexico";"1";"1";"1";"1";"2019-07-08 10:54:54"
"3255";"e90a24b559b3e0ab6947c8be46c77ad7";"0";"3";"17";"Le Parlement devrait valider dans quinze jours la nomination d'Ursula von der Leyen à la Commission européenne";"1";"1";"1";"1";"2019-07-08 10:55:00"
"3256";"dd90a9cf057c2b34559f9e9f7919b0ac";"0";"8";"32";"La Française Christine Lagarde, directrice générale du Fonds monétaire international (FMI) – qu’Angela Merkel apprécie depuis longtemps –, va, elle, remplacer Mario Draghi, qui doit quitter la BCE à la fin d’octobre";"1";"1";"1";"1";"2019-07-08 10:55:04"
"3257";"47a833850aa0b5424af2563ca145b0e5";"0";"0";"24";"Nommer deux femmes à des postes aussi stratégiques, exposés et jusqu’à présent exclusivement occupés par des hommes, représente, au moins symboliquement, un changement considérable";"0";"0";"0";"1";"2019-07-08 10:55:09"
"3258";"f93e53d25c0ae1f9709b5e1a38602ce7";"0";"2";"13";"Je suis très honorée d’avoir été nominée pour la Présidence de la BCE";"0";"1";"1";"1";"2019-07-08 10:55:15"
"3259";"36dd432311a557e0450ba7a8169e0d20";"0";"0";"10";"Au vu de ce qui précède, et en consultation… https://t";"0";"0";"0";"1";"2019-07-08 10:55:17"
"3260";"6decb739f378f69cd2692b784c50a532";"0";"0";"5";"Article réservé à nos abonnés";"0";"0";"0";"1";"2019-07-08 10:55:18"
"3261";"ad5f7cc6b4adea5bed1d20e2d73b68f8";"0";"2";"10";"Christine Lagarde, choix controversé à la tête de la BCE";"1";"1";"1";"1";"2019-07-08 10:55:20"
"3262";"9b7c02f6ad712e704fd75f2578adde21";"0";"5";"33";"Le libéral Charles Michel, premier ministre belge en sursis, est, pour sa part, choisi pour la présidence du Conseil en remplacement de Donald Tusk, dont le mandat s’achève à la fin de novembre";"1";"1";"1";"1";"2019-07-08 10:55:23"
"3263";"3b5c0318ba354e710fa199f69dcde588";"0";"2";"12";"Le socialiste espagnol Josep Borrell deviendra haut représentant pour les affaires extérieures";"1";"1";"1";"1";"2019-07-08 10:55:25"
"3264";"480ce456e928ca4e4420703fbb7ca293";"0";"3";"27";"Quant à la présidence du Parlement européen, soumise dès demain mercredi au vote des eurodéputés, elle sera sans doute occupée par l’ancien premier ministre bulgare Sergueï Stanichev";"1";"1";"1";"1";"2019-07-08 10:55:27"
"3265";"428af28cf0589502df589fbe553fec3b";"0";"1";"12";"M. Macron a toutefois appelé l’UE à réformer ses modes de désignation";"1";"1";"1";"1";"2019-07-08 10:55:30"
"3266";"7afbec51975e4c9a883e58366bc62637";"0";"3";"16";"Ursula von der Leyen, une fidèle de Merkel désignée à la tête de la Commission européenne";"1";"1";"1";"1";"2019-07-08 10:55:31"
"3267";"61796cc36f4746a36ac4b5d4968590a4";"0";"1";"6";"Calmer le mécontentement de la CDU-CSU";"0";"1";"1";"1";"2019-07-08 10:55:37"
"3268";"3392bc3cc6f4fd0d7297ef7ba8cc9f49";"0";"6";"35";"Un fervent supporteur du Parti du peuple indien (Bharatiya Janata Party) célèbre les premiers résultats des dépouillements qui laissent augurer une franche victoire du premier ministre Narendra Modi aux législatives, à Siliguri, le 23 mai";"1";"1";"1";"1";"2019-07-08 10:55:40"
"3269";"d105137b060af8b9f0bf18ef7635c56d";"0";"2";"13";"Geoffroy Roux de Bézieux a passé une très mauvaise journée, jeudi 27 juin";"1";"1";"1";"1";"2019-07-08 10:55:44"
"3270";"d8ce3ca8c0b09d7a7964606bf32db434";"0";"3";"23";"L'Italien David Sassoli, 63 ans, social-démocrate, ancien journaliste de télévision, et député européen depuis 2009, a été élu mercredi président du Parlement européen";"1";"1";"1";"1";"2019-07-08 10:55:48"
"3271";"02e2e01850b611bcea745ea96a29b307";"0";"0";"6";"Les premières tendances sont sans équivoque";"0";"0";"0";"1";"2019-07-08 10:55:50"
"3272";"9c116e936705a992d48ee3df8c27dffb";"0";"2";"21";"En effet, le Parlement de Strasbourg nouvellement composé se réunissait de son côté et devrait, en principe, élire son président mercredi";"0";"1";"1";"1";"2019-07-08 10:55:58"
"3273";"a810ee9bb386bd53eda80f3c4f4a16db";"0";"3";"34";"Le parti du premier ministre, Narendra Modi, possédait, jeudi 23 mai, une large avance à l’issue des élections législatives en Inde, augurant d’une probable reconduction des nationalistes hindous à la tête du géant asiatique";"1";"1";"1";"1";"2019-07-08 10:56:00"
"3274";"ce3ac0b3fe17a28df63dff0d4cceccc2";"0";"5";"36";"Si les tendances se confirment, la coalition emmenée par le Parti du peuple indien (Bharatiya Janata Party) dépasserait confortablement la majorité absolue de 272 parlementaires (542 sièges en tout à la chambre basse, la Lok Sabha)";"1";"1";"1";"1";"2019-07-08 10:56:02"
"3275";"0c4172ae0a6df525143a73862ff26b31";"0";"1";"23";"Le BJP pourrait même franchir à nouveau cette barre seul, une situation peu courante dans l’histoire politique indienne, plutôt habituée aux larges coalitions";"0";"1";"1";"1";"2019-07-08 10:56:14"
"3276";"87de58914c73eaae2c7809db6cee00fd";"1";"4";"26";"« L’Inde gagne à nouveau! », s’est exclamé sur Twitter Narendra Modi, qui brigue un second mandat à la tête du pays de 1,3 milliard d’habitants";"1";"1";"1";"1";"2019-07-08 10:56:28"
"3277";"47e4004bcaf86bd1e38d9948b8785d8b";"0";"3";"19";"Le président du Medef ne s’attendait pas à ce qu’une invitation lancée à Marion Maréchal provoquât un tel tollé";"1";"1";"1";"1";"2019-07-08 10:56:30"
"3278";"2029aba9a40f06245ef51aade211d259";"0";"3";"27";"Une décision liée aux débats bruxellois et aux accords à conclure entre les différentes familles politiques (conservateurs du Parti populaire européen, socialistes et libéraux-démocrates de Renew Europe)";"0";"1";"1";"1";"2019-07-08 10:56:36"
"3279";"8c0a76753de1e2bb76b0d0815a5de4d8";"0";"3";"23";"De son côté, le parti du Congrès, principale formation d’opposition, faisait la course en tête dans seulement 50 circonscriptions de la Lok Sabha";"0";"1";"1";"1";"2019-07-08 10:56:49"
"3282";"6d933d7318d7465c0c6ee3ff26d19f17";"0";"5";"29";"Le socialiste David Sassoli, ex-journaliste vedette de la télévision transalpine, eurodéputé depuis 2009 et vice-président du Parlement sortant, a été élu, ce mercredi à Strasbourg, président du Parlement européen";"1";"1";"1";"1";"2019-07-08 10:56:59"
"3283";"0d0fdd5ba01973d20af0151f20dd3e33";"0";"0";"8";"Mais il a dû se rendre à l’évidence";"0";"0";"0";"1";"2019-07-08 10:57:08"
"3284";"13d4d7daa743de7922d068f0bf2fb627";"0";"1";"32";"Les dirigeants, à Bruxelles, avaient en tout cas à cœur, mardi, de suggérer le président ou la présidente de l’hémicycle de leur choix, avant que les élus ne leur grillent la priorité";"0";"0";"1";"1";"2019-07-08 11:10:14"
"3285";"4b5dfc16e23f219691ff91b8607fb16e";"0";"2";"7";"L’Inde vote pour ou contre Narendra Modi";"1";"1";"1";"1";"2019-07-08 11:09:18"
"3286";"a032bb026ab661c2a717f86f69424a1f";"0";"0";"27";"Les marchés financiers indiens, qui voient le chef de gouvernement comme favorable aux affaires, ont bondi à l’annonce de ces premières tendances et atteint des niveaux inédits";"0";"0";"0";"1";"2019-07-08 11:10:31"
"3287";"ea27680c86c20b5373d8860f5c47f709";"0";"1";"14";"L’indice Sensex a brièvement franchi la barre encore jamais atteinte de 40 000 points";"0";"1";"0";"1";"2019-07-08 14:46:44"
"3288";"24942c65e090eba372b21ec9eaa0899b";"0";"0";"8";"La roupie se renforçait aussi face au dollar";"0";"0";"0";"1";"2019-07-08 11:10:34"
