Phrases;nb Quotes;nb Mots;nb Maj;Entit�s Nomm�es (Nom propres);Entit�s Nomm�es (FULL);Mots annonciateurs
« A 40 ans, la moitié de mes amis vivent chez leurs parents »: les classes moyennes d’Espagne rattrapées par la pauvreté;1;20;1;0;1;0
Le licenciement, point de départ des difficultés;0;7;0;0;0;0
International Réseau Europa A Barcelone, la crise, associée à la hausse des prix de l’immobilier, a fait basculer de nombreuses personnes de la classe moyenne dans la précarité.;0;28;4;0;1;0
 Article réservé aux abonnés Dans le cadre de la campagne pour les élections européennes, Le Monde et ses cinq partenaires du réseau Europa (The Guardian, Süddeutsche Zeitung, La Stampa, La Vanguardia, Gazeta Wyborcza) décrivent, à travers une série de reportages, la fragilisation du modèle social qui a fait la fierté de l’Europe.;0;53;15;0;1;1
 J’avais un appartement, une voiture, j’emmenais la famille en vacances sur la Costa Brava, à Ibiza… », dit Joan en levant le rideau de son bar, à deux pas d’un quartier à la mode de Barcelone, le marché rénové de Sant Antoni.;0;42;7;1;1;1
 Avec la crise, les choses ont mal tourné.;0;9;0;0;0;0
 En 2010, il a perdu son emploi dans le département commercial d’une multinationale du textile, il a choisi d’ouvrir un service de traiteur, puis un bar, dont les jours sont comptés.;0;31;0;0;0;0
L’expérience s’est si mal passée qu’il a dû, pendant quelque temps, s’installer avec sa compagne et leur bébé dans l’arrière-boutique de son bar.;0;22;0;0;0;0
 Joan, 47 ans, vivait à Olesa de Montserrat, à une quarantaine de kilomètres de Barcelone, avec sa première femme et sa fille aînée, maintenant adolescente, à l’époque où il n’avait pas de mal à joindre les deux bouts.;0;38;3;1;1;0
 « Ma femme avait sa propre affaire, un commerce, qui a dû fermer à cause de la concurrence des chaînes et des grands magasins Vers 2010, je me suis séparé et peu de temps après, en raison de la baisse du chiffre d’affaires dans la multinationale, j’ai été licencié », poursuit-il, en débarrassant des verres de vin et de bière de la veille.;1;62;1;0;0;1
 Joan – un nom fictif pour préserver son anonymat – espère faire un peu de caisse ce soir, le 1er mai, grâce au match Barça-Liverpool.;0;25;2;1;1;0
 « Même avec ça, je ne pense pas que je ferai plus de 300 euros, alors qu’avant, dans un match de type Barça-Madrid, j’aurais fait une caisse de 1 400 Mais les gens sortent moins et consomment à peine », se lamente-t-il.;1;39;3;0;1;1
